name,listeners,playcount,url,tags
Pharrell Williams,2774221,43617649,https://www.last.fm/music/Pharrell+Williams,"['Hip-Hop', 'rnb', 'rap', 'hip hop', 'seen live']"
Katy Perry,6175068,333711598,https://www.last.fm/music/Katy+Perry,"['pop', 'female vocalists', 'pop rock', 'indie', 'rock']"
John Legend,2836133,46455264,https://www.last.fm/music/John+Legend,"['soul', 'rnb', 'Neo-Soul', 'singer-songwriter', 'Hip-Hop']"
Iggy Azalea,1655464,51492373,https://www.last.fm/music/Iggy+Azalea,"['Hip-Hop', 'rap', 'pop', 'hip hop', 'australia']"
OneRepublic,3917066,115826285,https://www.last.fm/music/OneRepublic,"['rock', 'pop rock', 'alternative', 'alternative rock', 'indie']"
Jason Derulo,1479374,22955398,https://www.last.fm/music/+noredirect/Jason+Derulo,"['rnb', 'pop', 'male vocalists', 'Jason Derulo', 'urban']"
Magic!,1238450,10869003,https://www.last.fm/music/Magic%21,"['reggae', 'pop', 'Canadian', 'soul', 'rock']"
Meghan Trainor,1800640,37146157,https://www.last.fm/music/Meghan+Trainor,"['pop', 'female vocalists', 'soul', 'american', 'jazz']"
Ariana Grande,3777425,832954454,https://www.last.fm/music/Ariana+Grande,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']"
Sam Smith,2691330,97322145,https://www.last.fm/music/Sam+Smith,"['soul', 'pop', 'british', 'electronic', 'seen live']"
Pitbull,3780003,80104907,https://www.last.fm/music/Pitbull,"['Hip-Hop', 'rap', 'Reggaeton', 'hip hop', 'Crunk']"
Bastille,2116426,79510243,https://www.last.fm/music/Bastille,"['indie', 'electronic', 'alternative', 'seen live', 'british']"
Taylor Swift,5076697,2906654375,https://www.last.fm/music/Taylor+Swift,"['country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic']"
Nico,1034259,16225200,https://www.last.fm/music/Nico,"['folk', 'female vocalists', 'experimental', 'singer-songwriter', 'alternative']"
DJ Snake,2067522,37356460,https://www.last.fm/music/DJ+Snake,"['electronic', 'trap', 'dance', 'EDM', 'seen live']"
Eminem,6960855,460294059,https://www.last.fm/music/Eminem,"['rap', 'Hip-Hop', 'Eminem', 'hip hop', 'pop']"
A Great Big World,780391,7873168,https://www.last.fm/music/A+Great+Big+World,"['indie', 'indie pop', 'pop', 'piano', 'american']"
Lorde,3134988,304294193,https://www.last.fm/music/Lorde,"['pop', 'indie pop', 'electronic', 'indie', 'New Zealand']"
Passenger,1636116,32806699,https://www.last.fm/music/Passenger,"['folk', 'Melodic Death Metal', 'alternative metal', 'Nu Metal', 'metal']"
Idina Menzel,1170226,13820008,https://www.last.fm/music/Idina+Menzel,"['Broadway', 'female vocalists', 'musicals', 'Wicked', 'Rent']"
Avicii,2927487,94288014,https://www.last.fm/music/Avicii,"['House', 'electronic', 'dance', 'Progressive House', 'electro house']"
Imagine Dragons,3564658,211532622,https://www.last.fm/music/Imagine+Dragons,"['indie', 'indie rock', 'alternative', 'rock', 'indie pop']"
One Direction,2770992,244388057,https://www.last.fm/music/One+Direction,"['pop', 'british', 'one direction', 'boyband', 'X factor']"
Sia,3830183,140457773,https://www.last.fm/music/Sia,"['female vocalists', 'chillout', 'indie', 'trip-hop', 'downtempo']"
Jessie J,2659132,48426771,https://www.last.fm/music/Jessie+J,"['pop', 'british', 'female vocalists', 'rnb', 'singer-songwriter']"
Disclosure,2095872,64169438,https://www.last.fm/music/Disclosure,"['electronic', 'seen live', 'UK Garage', 'future garage', 'House']"
Maroon 5,5710318,215076459,https://www.last.fm/music/Maroon+5,"['rock', 'pop', 'pop rock', 'alternative', 'alternative rock']"
Chris Brown,4165348,113712769,https://www.last.fm/music/Chris+Brown,"['rnb', 'Hip-Hop', 'Chris Brown', 'rap', 'hip hop']"
